title_kr,title_aliases,wiki_article_found,query_used,status,views_12m
조명가게,The Light Shop,The Light Shines Only There,The Light Shop,NO_PAGEVIEW_DATA,0
졸업,The Midnight Romance in Hagwon,The Midnight Romance in Hagwon,The Midnight Romance in Hagwon,OK,71641
좋거나나쁜동재,,,,NO_ARTICLE_FOUND,0
좋아하면울리는,Love Alarm,Love Alarm,Love Alarm,OK,77996
중증외상센터,The Trauma Code: Heroes on Call,The Trauma Code: Heroes on Call,The Trauma Code: Heroes on Call,OK,175191
지금거신전화는,When the Phone Rings,When the Phone Rings,When the Phone Rings,NO_PAGEVIEW_DATA,0
지금우리학교는,All of Us Are Dead,All of Us Are Dead,All of Us Are Dead,OK,605106
지배종,Blood Free,Blood Free,Blood Free,OK,49131
지옥2,Hellbound Season 2,지옥,지옥2,OK,20
지옥에서 온 판사,The Judge from Hell,The Judge from Hell,The Judge from Hell,OK,197519
진심이닿다,Touch Your Heart,Touch Your Heart,Touch Your Heart,OK,54667
찌질의 역사,,History of Scruffiness,찌질의 역사,OK,23197
착한사나이,,The Nice Guy,착한사나이,OK,218304
착한여자부세미,,,,NO_ARTICLE_FOUND,0
찬란한너의계절에,,,,NO_ARTICLE_FOUND,0
참교육,,참교육,참교육,OK,31
천국보다 아름다운,Heavenly Ever After,Heavenly Ever After,Heavenly Ever After,OK,133320
첫사랑은처음이라서,,AStory,첫사랑은처음이라서,OK,4240
첫사랑을위하여,,,,NO_ARTICLE_FOUND,0
청년경찰,Midnight Runners,Midnight Runners,Midnight Runners,OK,51097
청년김대건,,,,NO_ARTICLE_FOUND,0
청담국제고등학교2,,Bitch x Rich,청담국제고등학교2,OK,103145
청춘기록,Record of Youth,Record of Youth,Record of Youth,OK,106352
청춘시대,Age of Youth,Age of Youth,Age of Youth,OK,380
체크인한양,,Check-in Hanyang,체크인한양,OK,43800
초콜릿,Chocolate,Chocolate,Chocolate,OK,454119
추격자,The Chaser,The Chaser,The Chaser,OK,32011
추리의여왕,Queen of Mystery,Queen of Mystery,Queen of Mystery,OK,11678
추리의여왕2,Queen of Mystery 2,Queen of Mystery 2,Queen of Mystery 2,OK,7143
춘화연애담,,The Scandal of Chunhwa,춘화연애담,NO_PAGEVIEW_DATA,0
취사병전설이되다,,,,NO_ARTICLE_FOUND,0
취하는로맨스,,,,NO_ARTICLE_FOUND,0
층간,,List of The Haunted House episodes,층간,OK,6533
친애하는X,Dear X,Dear X (TV series),Dear X,OK,997067
카지노,Big Bet,Big Bet (TV series),Big Bet,NO_PAGEVIEW_DATA,0
캐셔로,,Cashero,캐셔로,OK,331768
커넥션,Connection,Connection (TV series),Connection,OK,69995
커피프린스,Coffee Prince,Coffee Prince,Coffee Prince,OK,768
컨피던스맨KR,,Confidence Queen (TV series),컨피던스맨KR,NO_PAGEVIEW_DATA,0
크래시,Crash,Crash,Crash,OK,17378
클라이맥스,,Climax (TV series),클라이맥스,OK,248276
키스는괜히해서,,,,NO_ARTICLE_FOUND,0
키스라이팅,,Shin Jee-won,키스라이팅,OK,9836
킥킥킥킥,,Kick Kick Kick Kick,킥킥킥킥,OK,30502
킬러들의쇼핑몰,A Shop for Killers,A Shop for Killers,A Shop for Killers,OK,290514
킬미힐미,"Kill Me, Heal Me","Kill Me, Heal Me","Kill Me, Heal Me",OK,60812
킹더랜드,King the Land,King the Land,King the Land,OK,306437
탁류,,The Murky Stream,탁류,OK,174464
탄금,,Would You Marry Me? (TV series),탄금,OK,58215
태양의후예,Descendants of the Sun,Descendants of the Sun,Descendants of the Sun,OK,256489
태풍상사,,Last Summer (TV series),태풍상사,OK,138750
톱스타유백이,,,,NO_ARTICLE_FOUND,0
트라이우리는기적이된다,,,,NO_ARTICLE_FOUND,0
트렁크,The Trunk,The Trunk (TV series),The Trunk,OK,121419
트리거_넷플릭스,Trigger,Trigger Point (TV series),Trigger,OK,296126
트리거_디즈니,,Unmasked (TV series),트리거_디즈니,NO_PAGEVIEW_DATA,0
트웰브,,Twelve (TV series),트웰브,OK,484097
파인촌뜨기들,Low Life,Low Life (TV series),Low Life,OK,54640
판사이한영,,,,NO_ARTICLE_FOUND,0
패밀리,Family: The Unbreakable Bond,Family: The Unbreakable Bond,Family: The Unbreakable Bond,OK,74413
퍼스트레이디,,First Lady (South Korean TV series),퍼스트레이디,OK,10766
페이스미,,Face Me,페이스미,OK,31658
편의점샛별이,Backstreet Rookie,Backstreet Rookie,Backstreet Rookie,OK,109735
폭군,The Tyrant,The Tyrant (TV series),The Tyrant,OK,109417
폭군의셰프,,Korean drama,폭군의셰프,OK,366014
폭싹 속았수다,When Life Gives You Tangerines,When Life Gives You Tangerines,When Life Gives You Tangerines,OK,967232
폭염주의보,,Park Seo-kyung,폭염주의보,OK,22872
폴라로이드,,Kwak Sun-young,폴라로이드,OK,62946
푸른바다의전설,The Legend of the Blue Sea,The Legend of the Blue Sea,The Legend of the Blue Sea,OK,128616
프래자일,,Fragile (TV series),프래자일,OK,16316
프로보노,,Pro Bono,프로보노,OK,306815
플레이어2,,Player (TV series),플레이어2,OK,46651
플레이플리,,,,NO_ARTICLE_FOUND,0
피노키오,Pinocchio,Pinocchio,Pinocchio,OK,354009
피라미드게임,Pyramid Game,Pyramid Game (TV series),Pyramid Game,OK,85892
하늘에서내리는일억개의별,The Smile Has Left Your Eyes,The Smile Has Left Your Eyes (TV series),The Smile Has Left Your Eyes,OK,69965
하백의신부,The Bride of Habaek,The Bride of Habaek,The Bride of Habaek,OK,47604
하이드,Hide,Hide,Hide,OK,11369
하이라키,Hierarchy,Hierarchy (TV series),Hierarchy,OK,174795
하이퍼나이프,Hyper Knife,Hyper Knife,Hyper Knife,OK,95362
한강,Han River Police,Han River Police,Han River Police,NO_PAGEVIEW_DATA,0
함부로대해줘,Dare to Love Me,Dare to Love Me (TV series),Dare to Love Me,OK,31311
함부로애틋하게,Uncontrollably Fond,Uncontrollably Fond,Uncontrollably Fond,OK,89161
행복배틀,Battle for Happiness,Battle for Happiness,Battle for Happiness,OK,14739
허수아비,,The Scarecrow (TV series),허수아비,OK,229478
허식당,,Heo's Diner,허식당,OK,24784
협상의기술,The Art of Negotiation,The Art of Negotiation,The Art of Negotiation,OK,61333
호텔델루나,Hotel del Luna,Hotel del Luna,Hotel del Luna,OK,176478
혼례대첩,The Matchmakers,The Matchmakers (TV series),The Matchmakers,OK,63228
화유기,A Korean Odyssey,A Korean Odyssey,A Korean Odyssey,OK,79382
화인가스캔들,,,,NO_ARTICLE_FOUND,0
화자의스칼렛,,,,NO_ARTICLE_FOUND,0
후아유,Who Are You: School 2015,Who Are You: School 2015,Who Are You: School 2015,NO_PAGEVIEW_DATA,0
히어로는아닙니다만,The Atypical Family,The Atypical Family,The Atypical Family,OK,128597
힐러,Healer,Healer (TV series),Healer,OK,109792
힘쎈여자강남순,Strong Girl Nam-soon,Strong Girl Nam-soon,Strong Girl Nam-soon,OK,160762
힘쎈여자도봉순,Strong Woman Do Bong Soon,Strong Woman Do Bong-soon,Strong Woman Do Bong Soon,OK,2133
힙하게,Behind Your Touch,Behind Your Touch,Behind Your Touch,OK,57550
