title_key,표기,category,수집_글수,전체_성지수,S,A,B,C,채택수,대표성지_TOP5
해적바다로간산적,해적: 바다로 간 산적,movie,31,3,0,1,1,1,1,남양주종합촬영소(2) / 천관산(1) / 고양아쿠아스튜디오(0)
해피니스,해피니스,drama,49,1,1,0,0,0,1,e편한세상 옥정 더 퍼스트(7)
D.P.,D.P.,drama,50,5,0,0,0,5,0,부산 충무시설(광안동 지하벙커)(0) / 부천 까치울 부대(옛 61사단 177연대)(0) / 사창리터미널(0) / 영도구 영선미니아파트(0) / 울산대학교(0)
검사외전,검사외전,movie,26,5,0,0,0,5,0,대청마루I(0) / 부산외국어대학교 우암동캠퍼스(구)(0) / 쉐라톤 그랜드 인천 호텔(0) / 익산 교도소 세트장(0) / 잠수교(0)
마우스,마우스,drama,41,11,0,0,0,11,0,고양시 장항동 촬영지(0) / 구 장흥교도소(0) / 대방동 아파트 단지(0) / 본이 할머니 집(0) / 서울방배경찰서(0)
무브투헤븐,무브투헤븐,drama,42,11,0,0,0,11,0,동림아파트(0) / 두꺼비생태문화관 인근(산남동)(0) / 레드문516(0) / 새마을금고(0) / 성안길(0)
백두산,백두산,movie,74,1,0,0,0,1,0,새만금간척지·방조제 일대(0)
베를린,베를린,movie,64,1,0,0,0,1,0,인천서구보건소(0)
설국열차,설국열차,movie,45,2,0,0,0,2,0,바란도프 스튜디오(0) / 힌터툭스 빙하(0)
신과함께인과연,신과함께-인과 연,movie,33,9,0,0,0,9,0,김룡사(0) / 문경새재 오픈세트장(0) / 가은오픈세트장(0) / 대관령 삼양라운드힐(0) / 문경석탄박물관(0)
엑시트,엑시트,movie,37,1,0,0,0,1,0,중랑스포츠클라이밍경기장(0)
히말라야,히말라야,movie,54,1,0,0,0,1,0,쌍용C&E 영월공장(석회석 채석장)(0)
