priority_rank,title,place_rows,audience_acc,award,source_url,audience_numeric,has_award,priority_tier,codex_status,codex_notes
158,영웅,0,3230573,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20196478,3230573,False,C,pending,
159,마녀,0,3188405,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20185341,3188405,False,C,pending,
160,탐정: 리턴즈,0,3132986,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20178161,3132986,False,C,pending,
161,공공의 적 2,0,3123600,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20040786,3123600,False,C,pending,
162,감기,0,3107800,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124937,3107800,False,C,pending,
163,퀵,0,3104096,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20110290,3104096,False,C,pending,
164,광복절 특사,0,3100000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20020220,3100000,False,C,pending,
165,스물,0,3031466,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20148845,3031466,False,C,pending,
166,공공의 적,0,3030000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20020065,3030000,False,C,pending,
167,거북이 달린다,0,3017903,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20090297,3017903,False,C,pending,
168,헬로우 고스트,0,3015394,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20101223,3015394,False,C,pending,
169,하모니,0,3004402,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20090914,3004402,False,C,pending,
170,형,0,2975602,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20154661,2975602,False,C,pending,
171,방자전,0,2974675,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20090927,2974675,False,C,pending,
172,친구 2,0,2964798,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20137044,2964798,False,C,pending,
173,식객,0,2958352,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20070435,2958352,False,C,pending,
174,오싹한 연애,0,2952858,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20113381,2952858,False,C,pending,
175,프리즌,0,2920530,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20162181,2920530,False,C,pending,
176,그놈 목소리,0,2911117,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20070015,2911117,False,C,pending,
177,26년,0,2874554,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20088506,2874554,False,C,pending,
178,말모이,0,2848736,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20184105,2848736,False,C,pending,
179,표적,0,2836918,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20139164,2836918,False,C,pending,
180,극비수사,0,2816529,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20148855,2816529,False,C,pending,
181,마녀(魔女) Part2. The Other One,0,2799699,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20224882,2799699,False,C,pending,
182,내가 살인범이다,0,2720031,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124075,2720031,False,C,pending,
183,곤지암,0,2662377,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20180804,2662377,False,C,pending,
184,시라노; 연애조작단,0,2662361,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20100834,2662361,False,C,pending,
185,너는 내 운명,0,2659825,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050239,2659825,False,C,pending,
186,살인자의 기억법,0,2622858,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20154909,2622858,False,C,pending,
187,탐정 : 더 비기닝,0,2618883,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20156557,2618883,False,C,pending,
188,마파도,0,2618070,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20040778,2618070,False,C,pending,
189,폰,0,2600000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20020213,2600000,False,C,pending,
190,가문의 부활 - 가문의 영광3,0,2588560,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20060257,2588560,False,C,pending,
191,지금 만나러 갑니다,0,2586440,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20170669,2586440,False,C,pending,
192,위험한 상견례,0,2578242,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20119618,2578242,False,C,pending,
193,아수라,0,2577172,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20153443,2577172,False,C,pending,
194,후궁 : 제왕의 첩,0,2575573,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20113533,2575573,False,C,pending,
195,보안관,0,2575570,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20162722,2575570,False,C,pending,
196,굿모닝 프레지던트,0,2550349,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20090605,2550349,False,C,pending,
197,탈주,0,2544280,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20212932,2544280,False,C,pending,
198,히트맨2,0,2527206,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20233006,2527206,False,C,pending,
199,1번가의 기적,0,2525464,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20070014,2525464,False,C,pending,
200,증인,0,2519150,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20185881,2519150,False,C,pending,
201,라스트 갓파더,0,2512521,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20101209,2512521,False,C,pending,
202,목격자,0,2512159,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20170670,2512159,False,C,pending,
203,기술자들,0,2506515,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20149265,2506515,False,C,pending,
204,조작된 도시,0,2492389,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20150964,2492389,False,C,pending,
205,블랙머니,0,2470153,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20195002,2470153,False,C,pending,
206,우리들의 행복한 시간,0,2468816,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20060244,2468816,False,C,pending,
207,보스,0,2420642,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20228988,2420642,False,C,pending,
208,화차,0,2418592,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124050,2418592,False,C,pending,
209,이웃사람,0,2416123,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20125920,2416123,False,C,pending,
210,재심,0,2415253,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20166421,2415253,False,C,pending,
211,히트맨,0,2400805,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20192101,2400805,False,C,pending,
212,사바하,0,2389760,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20177539,2389760,False,C,pending,
213,조선명탐정: 흡혈괴마의 비밀,0,2386716,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20179205,2386716,False,C,pending,
214,의뢰인,0,2372813,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20110613,2372813,False,C,pending,
215,화이: 괴물을 삼킨 아이,0,2370593,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20123383,2370593,False,C,pending,
216,가문의 영광4 - 가문의 수난,0,2354393,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20112272,2354393,False,C,pending,
217,박열,0,2338871,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20178982,2338871,False,C,pending,
218,미인도,0,2337993,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20081611,2337993,False,C,pending,
219,음란서생,0,2297550,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050355,2297550,False,C,pending,
220,내 생애 가장 아름다운 일주일,0,2269939,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050232,2269939,False,C,pending,
221,블라인드,0,2260852,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20110297,2260852,False,C,pending,
222,황해,0,2254603,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20101222,2254603,False,C,pending,
223,하녀,0,2230417,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20100188,2230417,False,C,pending,
224,킬러들의 수다,0,2230000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010015,2230000,False,C,pending,
225,7광구,0,2225436,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20119513,2225436,False,C,pending,
226,타짜: 원 아이드 잭,0,2212819,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20184572,2212819,False,C,pending,
227,악의 연대기,0,2184571,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20149569,2184571,False,C,pending,
228,싱크홀,0,2182763,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20196270,2182763,False,C,pending,
229,강남 1970,0,2166921,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20136888,2166921,False,C,pending,
230,30일,0,2161133,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20228819,2161133,False,C,pending,
231,신의 한 수: 귀수편,0,2147825,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20181434,2147825,False,C,pending,
232,승부,0,2133815,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20203863,2133815,False,C,pending,
233,내 사랑 내 곁에,0,2130369,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20090329,2130369,False,C,pending,
234,바르게 살자,0,2129648,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20070434,2129648,False,C,pending,
235,나의 사랑 나의 신부,0,2125585,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20147930,2125585,False,C,pending,
236,마이 웨이,0,2123634,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20110295,2123634,False,C,pending,
237,초능력자,0,2111567,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20101010,2111567,False,C,pending,
238,굿바이 싱글,0,2103766,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20150972,2103766,False,C,pending,
239,비천무,0,2100000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000013,2100000,False,C,pending,
240,몽타주,0,2089900,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20122784,2089900,False,C,pending,
241,극락도 살인사건,0,2074312,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20070104,2074312,False,C,pending,
242,내부자들: 디 오리지널,0,2070126,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20150025,2070126,False,C,pending,
243,명당,0,2066465,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20172204,2066465,False,C,pending,
244,"달콤, 살벌한 연인",0,2065433,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20060068,2065433,False,C,pending,
245,박수칠 때 떠나라,0,2063656,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050178,2063656,False,C,pending,
246,비상선언,0,2043887,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20196410,2043887,False,C,pending,
247,봉이 김선달,0,2043660,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20159644,2043660,False,C,pending,
248,뷰티 인사이드,0,2039642,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20143572,2039642,False,C,pending,
249,눈에는 눈 이에는 이,0,2034395,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20080968,2034395,False,C,pending,
250,쩨쩨한 로맨스,0,2029296,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20101221,2029296,False,C,pending,
251,마당을 나온 암탉,0,2021416,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20110279,2021416,False,C,pending,
252,세븐 데이즈,0,2020299,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20070466,2020299,False,C,pending,
253,광식이 동생 광태,0,2018197,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050292,2018197,False,C,pending,
254,무사,0,2010000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010017,2010000,False,C,pending,
255,사랑,0,1999172,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20070441,1999172,False,C,pending,
256,천문: 하늘에 묻는다,0,1990746,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20184571,1990746,False,C,pending,
257,맨발의 기봉이,0,1988117,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20060005,1988117,False,C,pending,
258,색즉시공 시즌2,0,1987758,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20070637,1987758,False,C,pending,
259,육사오(6/45),0,1958368,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20217826,1958368,False,C,pending,
260,협상,0,1953273,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20177308,1953273,False,C,pending,
261,남자가 사랑할 때,0,1933102,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20137043,1933102,False,C,pending,
262,내안의 그놈,0,1910802,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20176251,1910802,False,C,pending,
263,천박사 퇴마 연구소: 설경의 비밀,0,1901915,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20227410,1901915,False,C,pending,
264,혈의 누,0,1900798,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050076,1900798,False,C,pending,
265,#살아있다,0,1900331,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20193069,1900331,False,C,pending,
266,오늘의 연애,0,1879010,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20142407,1879010,False,C,pending,
267,내 머리 속의 지우개,0,1878294,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20040673,1878294,False,C,pending,
268,하이파이브,0,1876330,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20211791,1876330,False,C,pending,
269,귀신이 산다,0,1870319,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20040649,1870319,False,C,pending,
270,반칙왕,0,1870000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000030,1870000,False,C,pending,
271,코리아,0,1861422,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124045,1861422,False,C,pending,
272,그림자 살인,0,1859624,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20090156,1859624,False,C,pending,
273,애자,0,1857685,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20090484,1857685,False,C,pending,
274,아이들...,0,1846698,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20119341,1846698,False,C,pending,
275,작업의 정석,0,1846581,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050330,1846581,False,C,pending,
276,댄서의 순정,0,1846350,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050077,1846350,False,C,pending,
277,노무현입니다,0,1842323,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20174602,1842323,False,C,pending,
278,집으로 가는 길,0,1827986,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20134123,1827986,False,C,pending,
279,해결사,0,1824666,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20100305,1824666,False,C,pending,
280,나의 PS 파트너,0,1822593,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124936,1822593,False,C,pending,
281,뺑반,0,1821147,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20180868,1821147,False,C,pending,
282,비열한 거리,0,1805361,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20060137,1805361,False,C,pending,
283,악마를 보았다,0,1802726,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20100301,1802726,False,C,pending,
284,챔피언,0,1800000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20020191,1800000,False,C,pending,
285,글러브,0,1799658,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20102416,1799658,False,C,pending,
286,변신,0,1797796,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20184543,1797796,False,C,pending,
287,강철비2: 정상회담,0,1789851,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20196271,1789851,False,C,pending,
288,마약왕,0,1787825,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20168773,1787825,False,C,pending,
289,아내가 결혼했다,0,1782210,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20081395,1782210,False,C,pending,
290,우리 형,0,1772880,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20040628,1772880,False,C,pending,
291,하이재킹,0,1767851,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20248465,1767851,False,C,pending,
292,공범,0,1764638,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20129606,1764638,False,C,pending,
293,핸섬가이즈,0,1763296,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20208245,1763296,False,C,pending,
294,제보자,0,1745594,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20134589,1745594,False,C,pending,
295,전설의 주먹,0,1743466,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20125333,1743466,False,C,pending,
296,차우,0,1740738,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20090051,1740738,False,C,pending,
297,러브픽션,0,1718634,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20113916,1718634,False,C,pending,
298,사생결단,0,1716901,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20060100,1716901,False,C,pending,
299,담보,0,1714500,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20199816,1714500,False,C,pending,
300,대호,0,1713936,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20145171,1713936,False,C,pending,
301,파파로티,0,1710343,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20129368,1710343,False,C,pending,
302,바람피기 좋은 날,0,1700763,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20060421,1700763,False,C,pending,
303,평양성,0,1700360,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20102415,1700360,False,C,pending,
304,화산고,0,1700000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010006,1700000,False,C,pending,
305,교섭,0,1697864,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20190808,1697864,False,C,pending,
306,시민덕희,0,1695197,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20206946,1695197,False,C,pending,
307,노이즈,0,1694838,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20233220,1694838,False,C,pending,
308,쎄시봉,0,1693215,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20148188,1693215,False,C,pending,
309,불꽃처럼 나비처럼,0,1666737,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20090308,1666737,False,C,pending,
310,PMC: 더 벙커,0,1665200,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20170658,1665200,False,C,pending,
311,검은 수녀들,0,1651348,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20247450,1651348,False,C,pending,
312,피끓는 청춘,0,1648531,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20139881,1648531,False,C,pending,
313,임금님의 사건수첩,0,1631220,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20161726,1631220,False,C,pending,
314,고死 : 피의 중간고사,0,1629264,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20081058,1629264,False,C,pending,
315,님은 먼 곳에,0,1627023,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20080764,1627023,False,C,pending,
316,인질,0,1622923,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20192194,1622923,False,C,pending,
317,걸캅스,0,1618601,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20184082,1618601,False,C,pending,
318,공모자들,0,1618517,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124063,1618517,False,C,pending,
319,두근두근 내 인생,0,1616325,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20134594,1616325,False,C,pending,
320,구세주,0,1612280,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20060019,1612280,False,C,pending,
321,우아한 거짓말,0,1604898,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20138226,1604898,False,C,pending,
322,하울링,0,1604622,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20110249,1604622,False,C,pending,
323,사자,0,1602046,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20180442,1602046,False,C,pending,
324,더 폰,0,1590883,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20157464,1590883,False,C,pending,
325,창궐,0,1588443,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20174981,1588443,False,C,pending,
326,그대를 사랑합니다,0,1587105,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20119337,1587105,False,C,pending,
327,무방비도시,0,1573143,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20071064,1573143,False,C,pending,
328,성난황소,0,1567264,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20184481,1567264,False,C,pending,
329,삼진그룹 영어토익반,0,1565712,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20197121,1565712,False,C,pending,
330,흡혈형사 나도열,0,1559301,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20060017,1559301,False,C,pending,
331,용의자X,0,1549944,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124057,1549944,False,C,pending,
332,청춘만화,0,1549089,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20060051,1549089,False,C,pending,
333,도어락,0,1546002,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20179230,1546002,False,C,pending,
334,도굴,0,1543277,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20192193,1543277,False,C,pending,
335,라디오 스타,0,1535055,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20060284,1535055,False,C,pending,
336,정직한 후보,0,1529330,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20193321,1529330,False,C,pending,
337,눈동자,0,1524850,,https://www.moviechart.co.kr/rank/boxoffice,1524850,False,C,pending,
338,외계+인 1부,0,1521715,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20208446,1521715,False,C,pending,
339,무적자,0,1520332,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20100833,1520332,False,C,pending,
340,잠복근무,0,1518037,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050013,1518037,False,C,pending,
341,원스어폰어타임,0,1514017,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20080011,1514017,False,C,pending,
342,단적비연수,0,1500000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000043,1500000,False,C,pending,
343,복면달호,0,1494678,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20070020,1494678,False,C,pending,
344,연애의 목적,0,1493211,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050110,1493211,False,C,pending,
345,부라더,0,1485834,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20172603,1485834,False,C,pending,
346,유감스러운 도시,0,1472418,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20090014,1472418,False,C,pending,
347,더 게임,0,1468710,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20071675,1468710,False,C,pending,
348,차이나타운,0,1466767,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20149266,1466767,False,C,pending,
349,잠,0,1463111,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20224667,1463111,False,C,pending,
350,스윙키즈,0,1462873,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20175547,1462873,False,C,pending,
351,나의 특별한 형제,0,1462434,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20185784,1462434,False,C,pending,
352,해무(海霧),0,1461574,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20134082,1461574,False,C,pending,
353,주먹이 운다(Crying Fist),0,1458473,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050049,1458473,False,C,pending,
